# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StorageLockContext.competingThreads.avg,1774173716282000000,1774173743839000000,0.5961538461538461
FilePageCache.pageLoadsAboveSizeThreshold,1774173716282000000,1774173743839000000,0
FilePageCacheLockFree.totalPagesAllocated,1774173716282000000,1774173743839000000,0
FilePageCache.pageLoads,1774173716282000000,1774173743839000000,196
StorageLockContext.competingThreads.max,1774173716282000000,1774173743839000000,9
FilePageCacheLockFree.totalPagesRequestsMs,1774173716282000000,1774173743839000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1774173716282000000,1774173743839000000,41943040
FilePageCacheLockFree.totalPagesReadMs,1774173716282000000,1774173743839000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1774173716282000000,1774173743839000000,0
MappedFileStorage.totalPagesMapped,1774173716282000000,1774173743839000000,0
FilePageCacheLockFree.totalPagesRequested,1774173716282000000,1774173743839000000,0
DirectByteBufferAllocator.hits,1774173716282000000,1774173743839000000,3
FilePageCacheLockFree.totalNativeBytesReclaimed,1774173716282000000,1774173743839000000,0
DirectByteBufferAllocator.misses,1774173716282000000,1774173743839000000,193
FilePageCacheLockFree.totalBytesRequested,1774173716282000000,1774173743839000000,0
MappedFileStorage.totalBytesMapped,1774173716282000000,1774173743839000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1774173716282000000,1774173743839000000,0
FilePageCache.maxRegisteredFiles,1774173716282000000,1774173743839000000,537
FilePageCache.capacityInBytes,1774173716282000000,1774173743839000000,503316478
FilePageCacheLockFree.heapBytesInUse,1774173716282000000,1774173743839000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1774173716282000000,1774173743839000000,0
FilePageCacheLockFree.totalPagesWriteMs,1774173716282000000,1774173743839000000,0
FilePageCacheLockFree.totalPagesReclaimed,1774173716282000000,1774173743839000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1774173716282000000,1774173743839000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1774173716282000000,1774173743839000000,0
MappedFileStorage.storages,1774173716282000000,1774173743839000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1774173716282000000,1774173743839000000,0
FilePageCache.totalPageLoadsUs,1774173716282000000,1774173743839000000,587779
DirectByteBufferAllocator.disposed,1774173716282000000,1774173743839000000,153
StorageLockContext.competingThreads.90P,1774173716282000000,1774173743839000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1774173716282000000,1774173743839000000,41943040
FilePageCache.pageFastCacheHits,1774173716282000000,1774173743839000000,13604
FilePageCacheLockFree.totalPagesWritten,1774173716282000000,1774173743839000000,0
FilePageCache.pageHits,1774173716282000000,1774173743839000000,0
FilePageCache.totalPageDisposalsUs,1774173716282000000,1774173743839000000,2034
FilePageCacheLockFree.housekeeperTurnsSkipped,1774173716282000000,1774173743839000000,0
FilePageCacheLockFree.nativeBytesInUse,1774173716282000000,1774173743839000000,0
jps.global.initialize.library.bridges.ms,1774173716282000000,1774173743839000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1774173716282000000,1774173743839000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1774173716282000000,1774173743839000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1774173716282000000,1774173743839000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1774173716282000000,1774173743839000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1774173716282000000,1774173743839000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1774173716282000000,1774173743839000000,0
jps.global.handle.changed.events.ms,1774173716282000000,1774173743839000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1774173716282000000,1774173743839000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1774173716282000000,1774173743839000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1774173716282000000,1774173743839000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1774173716282000000,1774173743839000000,0
workspaceModel.load.cache.from.file.ms,1774173716282000000,1774173743839000000,2
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1774173716282000000,1774173743839000000,0
jps.global.initialize.library.bridges.after.loading.ms,1774173716282000000,1774173743839000000,8
jps.save.global.entities.ms,1774173716282000000,1774173743839000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1774173716282000000,1774173743839000000,0
jps.global.get.library.by.name.ms,1774173716282000000,1774173743839000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1774173716282000000,1774173743839000000,0
workspaceModel.mutableEntityStorage.entities.ms,1774173716282000000,1774173743839000000,5
jps.global.handle.before.change.events.ms,1774173716282000000,1774173743839000000,0
jps.load.initial.state.ms,1774173716282000000,1774173743839000000,60
workspaceModel.global.apply.state.to.project.ms,1774173716282000000,1774173743839000000,0
workspaceModel.global.updates.ms,1774173716282000000,1774173743839000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1774173716282000000,1774173743839000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1774173716282000000,1774173743839000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1774173716282000000,1774173743839000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1774173716282000000,1774173743839000000,0
workspaceModel.global.updates.count,1774173716282000000,1774173743839000000,0
workspaceModel.save.cache.to.file.ms,1774173716282000000,1774173743839000000,0
workspaceModel.do.save.caches.ms,1774173716282000000,1774173743839000000,0
jps.library.entities.serializer.load.entities.ms,1774173716282000000,1774173743839000000,1
jps.global.get.libraries.ms,1774173716282000000,1774173743839000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1774173716282000000,1774173743839000000,0
workspaceModel.sync.entities.ms,1774173716282000000,1774173743839000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1774173716282000000,1774173743839000000,0
jps.library.entities.serializer.save.entities.ms,1774173716282000000,1774173743839000000,0
workspaceModel.load.cache.metadata.from.file.ms,1774173716282000000,1774173743839000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1774173716282000000,1774173743839000000,1
workspaceModel.mutableEntityStorage.instances.count,1774173716282000000,1774173743839000000,3
jps.global.get.library.ms,1774173716282000000,1774173743839000000,0
jps.app.storage.content.reader.load.component.ms,1774173716282000000,1774173743839000000,5
workspaceModel.moduleManagerBridge.get.modules.ms,1774173716282000000,1774173743839000000,2
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1774173716282000000,1774173743839000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1774173716282000000,1774173743839000000,0
cacheStateStorage.set.counter,1774173716282000000,1774173743839000000,0
cacheStateStorage.get.counter,1774173716282000000,1774173743839000000,10
cacheStateStorage.get.duration,1774173716282000000,1774173743839000000,0
cacheStateStorage.set.duration,1774173716282000000,1774173743839000000,0
workspaceModel.replace.project.model.ms,1774173716282000000,1774173743839000000,0
workspaceModel.initializing.ms,1774173716282000000,1774173743839000000,0
workspaceModel.collect.changes.ms,1774173716282000000,1774173743839000000,0
workspaceModel.updates.count,1774173716282000000,1774173743839000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1774173716282000000,1774173743839000000,3
workspaceModel.cachedValueWithParameters.calculated.ms,1774173716282000000,1774173743839000000,0
workspaceModel.updates.ms,1774173716282000000,1774173743839000000,0
workspaceModel.full.replace.project.model.ms,1774173716282000000,1774173743839000000,0
workspaceModel.loading.from.cache.ms,1774173716282000000,1774173743839000000,167
workspaceModel.update.unloaded.entities.ms,1774173716282000000,1774173743839000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1774173716282000000,1774173743839000000,0
workspaceModel.check.recursive.update.ms,1774173716282000000,1774173743839000000,0
workspaceModel.to.snapshot.ms,1774173716282000000,1774173743839000000,0
workspaceModel.cachedValue.total.get.ms,1774173716282000000,1774173743839000000,1
workspaceModel.cachedValueWithParameters.clear.ms,1774173716282000000,1774173743839000000,0
workspaceModel.cachedValue.calculated.ms,1774173716282000000,1774173743839000000,1
workspaceModel.pre.handlers.ms,1774173716282000000,1774173743839000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1774173716282000000,1774173743839000000,0
workspaceModel.init.bridges.ms,1774173716282000000,1774173743839000000,0
workspaceModel.loading.total.ms,1774173716282000000,1774173743839000000,203
workspaceModel.updates.precise.ms,1774173716282000000,1774173743839000000,0
workspaceModel.cachedValue.from.cache.ms,1774173716282000000,1774173743839000000,0
workspaceModel.cachedValue.clear.ms,1774173716282000000,1774173743839000000,0
